fdc_id,description,brand_owner,food_category,Energy,Protein,"Carbohydrate, by difference",Total lipid (fat),"Fatty acids, total saturated","Fiber, total dietary",Total Sugars,"Sodium, Na"
2567824,ORIGINAL CEREAL,"Post Consumer Brands, LLC",Cereal,325.0,7.5,80.0,2.5,0.0,15.0,15.0,525.0
2594634,ORIGINAL CEREAL,Kellogg Company,Cereal,310.0,19.0,70.7,2.59,0.0,22.4,13.8,293.0
2595859,ORIGINAL CEREAL,The Kellogg Company ,Cereal,385.0,7.69,87.2,0.0,0.0,0.0,12.8,667.0
2607681,ORIGINAL CEREAL,"Post Consumer Brands, LLC",Cereal,350.0,11.7,81.7,2.5,0.0,13.3,0.0,0.0
2611316,ORIGINAL CEREAL,The Kellogg Company ,Cereal,385.0,7.69,87.2,0.0,0.0,0.0,12.8,667.0
1898513,QUINOA CEREAL,Peruvian Import Company,Cereal,500.0,8.33,91.7,8.33,0.0,8.3,33.3,58.0
2491163,SUPER CEREAL,Whispering Orchards Inc,Cereal,380.0,12.0,66.0,9.0,0.0,10.0,10.0,0.0
2113417,SUPERFOOD CEREAL,"Mozian & Associates, Inc.",Cereal,364.0,10.4,64.9,9.09,3.25,10.4,19.5,26.0
1635967,SWEETENED CEREAL,"General Mills, Inc.",Cereal,385.0,3.85,84.6,3.85,0.0,3.8,34.6,462.0
2477273,SWEETENED CEREAL,"Schnuck Markets, Inc.",Cereal,368.0,5.26,84.2,3.95,0.0,5.3,36.8,474.0
1928913,THE ORIGINAL CEREAL,"Post Consumer Brands, LLC",Cereal,345.0,10.3,81.0,1.72,0.0,12.1,8.62,483.0
2687926,Total Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,350.0,7.5,82.5,2.5,0.0,10.0,15.0,475.0
2745285,Trix Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,410.0,5.13,84.6,5.13,0.0,2.6,30.8,462.0
759416,Trix Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,387.0,3.23,87.1,4.84,0.0,3.2,32.3,484.0
1462033,Trix Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,410.0,5.13,84.6,5.13,0.0,2.6,30.8,462.0
2745277,Trix Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,410.0,5.13,84.6,5.13,0.0,2.6,30.8,462.0
2746408,Trix Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,410.0,5.13,84.6,5.13,0.0,2.6,30.8,462.0
2747468,Trix Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,410.0,5.13,84.6,5.13,0.0,2.6,30.8,462.0
1885973,"WEGMANS, CEREAL","Wegmans Food Markets, Inc. ",Cereal,375.0,9.38,78.1,4.69,0.0,6.2,18.8,438.0
758004,Wheaties Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,333.0,8.33,83.3,2.08,0.0,12.5,16.7,667.0
2509069,"CINNAMON CEREAL WITH COLLAGEN & MCTS, CINNAMON CEREAL",Perfect Keto,Cereal,250.0,22.5,42.5,15.0,2.5,10.0,2.5,550.0
2671005,"FRUITY CEREAL CANDY WAFERS, FRUITY CEREAL",Chocomaker Inc. ,Cookies & Biscuits,533.0,3.33,66.7,30.0,26.7,0.0,66.7,100.0
2561058,"FRUITY CEREAL COOKIE DOUGH, FRUITY CEREAL","General Mills, Inc.",Cookies & Biscuits,455.0,3.03,60.6,21.2,12.1,0.0,39.4,258.0
2661010,"FRUITY CEREAL CRISPY BITES, FRUITY CEREAL",Target Stores,"Cakes, Cupcakes, Snack Cakes",395.0,2.33,76.7,8.14,4.65,0.0,41.9,314.0
2374125,"FRUITY CEREAL PROTEIN BUCKBAR, FRUITY CEREAL",DAS Labs LLC ,"Snack, Energy & Granola Bars",360.0,32.0,44.0,12.0,4.0,12.0,20.0,150.0
2582068,"FRUITY CEREAL PROTEIN SHAKE, FRUITY CEREAL",Alani Nutrition LLC,Sport Drinks,39.0,5.63,2.54,0.99,0.7,0.8,1.69,65.0
1635850,"HOLIDAY SPRINKLES SWEETENED CEREAL, SWEETENED CEREAL","General Mills, Inc.",Cereal,385.0,3.85,84.6,3.85,0.0,3.8,34.6,346.0
2673044,"HONEY GRAHAM CEREAL, HONEY GRAHAM CEREAL","Post Consumer Brands, LLC",Cereal,433.0,3.33,83.3,10.0,1.67,3.3,33.3,900.0
2145027,"MILK & CEREAL BREAKFAST BISCUITS, MILK & CEREAL","Ahold USA, Inc. ",Cookies & Biscuits,464.0,10.7,71.4,16.1,1.79,7.1,21.4,250.0
2286997,"NUT AND CEREAL DAIRY DRINK, NUT AND CEREAL","Danone US, LLC",Milk,83.0,1.75,15.3,1.75,1.09,0.0,13.5,31.0
2463998,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL","Lala U.S., Inc. ",Yogurt,63.0,2.42,11.6,0.72,0.48,1.0,8.7,41.0
2301161,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL",Borden Dairy Company,Yogurt,63.0,2.42,11.1,1.21,0.72,1.0,8.7,41.0
2187239,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL",Borden Dairy Company,Yogurt,72.0,2.42,11.6,2.17,1.45,1.4,8.7,41.0
2187209,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL",Borden Dairy Company,Yogurt,74.0,2.57,11.6,2.25,1.29,1.3,9.0,42.0
2189425,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL",Borden Dairy Company,Yogurt,63.0,2.42,11.1,1.21,0.72,1.0,8.7,41.0
2189000,"SMOOTHIE YOGURT WITH PECAN & CEREALS, PECAN & CEREALS","Marquez Brothers International, Inc.",Yogurt,116.0,3.38,18.4,2.9,1.93,0.5,15.5,41.0
1864071,"SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN CEREAL","Post Consumer Brands, LLC",Cereal,406.0,6.25,87.5,3.12,0.0,3.1,43.8,469.0
2015533,"SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN CEREAL","Post Consumer Brands, LLC",Cereal,406.0,6.25,87.5,3.12,0.0,3.1,43.8,469.0
1850350,"SWEETENED RICE CEREAL, SWEETENED RICE CEREAL","Post Consumer Brands, LLC",Cereal,407.0,3.7,88.9,3.7,0.0,0.0,40.7,630.0
1864069,"SWEETENED RICE CEREAL, SWEETENED RICE CEREAL","Post Consumer Brands, LLC",Cereal,407.0,3.7,88.9,3.7,0.0,0.0,40.7,630.0
2672929,"TOASTED RICE CEREAL, TOASTED RICE CEREAL","Post Consumer Brands, LLC",Cereal,394.0,6.06,87.9,0.0,0.0,0.0,9.09,576.0
1970205,"CEREAL SOAKED MILK ICE CREAM WITH CRISPY CEREAL SWIRL, CEREAL DREAMS",Coolhaus,Ice Cream & Frozen Yogurt,208.0,3.33,25.8,10.8,6.67,2.5,22.5,67.0
1855473,"PEACE CEREAL, SUPERGRAINS CEREAL, MAPLE BUCKWHEAT HEMP","8th Avenue Food & Provisions, Inc.",Cereal,327.0,12.7,74.6,7.27,0.0,7.3,10.9,400.0
1880521,"BAUDUCCO, BREAKFAST COOKIE, MILK & CEREALS, MILK & CEREALS",Trusouth Oil LLC,Cookies & Biscuits,424.0,9.09,63.6,13.6,6.06,12.1,21.2,227.0
2411924,"CEREAL 'N CANDY BITES, CEREAL 'N CANDY","Frankford Candy, LLC",Candy,536.0,3.57,64.3,28.6,25.0,0.0,60.7,196.0
1838403,"CHOCOLATEY CEREAL FLAVOR MACROS BARS, CHOCOLATEY CEREAL",Abbott Laboratories Inc ,"Snack, Energy & Granola Bars",400.0,30.0,46.0,14.0,8.0,8.0,2.0,480.0
1975441,"CINNAMON CEREAL IN MILK CHOCOLATE CEREAL SWEETS, CINNAMON","7-Eleven, Inc.",Chocolate,520.0,6.0,60.0,28.0,16.0,2.0,54.0,100.0
